Alosa spp.,Atlantic herring,Bluefish,Butterfish,Cancer crabs,Cunner,Fourspot flounder,Horseshoe crab,Lady crab,Little skate,Lobster,Long finned squid,Longhorned sculpin,Northern searobin,Red hake,Scup,Sea star,Silver hake,Spider crab,Striped searobin,Summer flounder,Tautog,Weakfish,Windowpane,Winter flounder
0.326388889,4.288888889,0.048611111,6.631944444,0,7.422222222,0.020833333,0,0,0.409722222,0.702777778,1.45,3.654166667,14.48055556,0.75,106.6041667,0,0.675,0,0,0.684722222,1.036111111,0.020833333,25.38888889,314.9944444
0.180555556,2.131944444,0.041666667,1.5375,0,8.156944444,0,0,0,0.506944444,1.388888889,2.445833333,6.819444444,31.60416667,0.041666667,30.29166667,0,2.958333333,0,0,0.320833333,2.1,0.079166667,26.17361111,362.5347222
0.154166667,3.804166667,0.091666667,0.606944444,3.198611111,6.677777778,0,0.666666667,0,0.845833333,1.531944444,1.873611111,2.511111111,11.87916667,0.020833333,19.06805556,6.284722222,0.445833333,4.3,4.8625,0.347222222,2.916666667,0.645833333,29.97222222,275.9027778
0.1,2.730555556,0.405555556,0.348611111,8.7625,3.826388889,0.027777778,1.254166667,0,0.813888889,1.054166667,2.9625,3.530555556,12.93055556,0.086111111,17.37083333,12.15277778,1.8125,11.71111111,2.291666667,0.243055556,4.855555556,0.0625,26.20555556,178.0986111
0.588888889,1.066666667,0.15,6.770833333,4.486111111,2.608333333,0,1.391666667,0,1.280555556,0.697222222,4.05,1.140277778,13.91666667,0.020833333,76.1875,14.84722222,0.1,11.59166667,3.879166667,0.525,3.083333333,0.291666667,23.45,124.7430556
0.173611111,2.8625,0,5.330555556,8.881944444,1.895833333,0,1.6625,0,2.106944444,0.606944444,1.275,0.993055556,10.8125,0.454166667,37.68333333,17.3125,1.2875,13.21388889,0.722222222,0.269444444,2.425,0.3125,20.26527778,105.7986111
0.636111111,0.855555556,0,1.281944444,13.05138889,3.445833333,0.145833333,4.294444444,0,3.056944444,1.411111111,2.719444444,2.068055556,18.14166667,0.141666667,109.5138889,17.85416667,5.856944444,15.93194444,3.375,1.070833333,3.693055556,7.958333333,20.75,103.9583333
0.179166667,1.040277778,0.402777778,1.063888889,11.29583333,1.304166667,0.172222222,7.404166667,0,3.366666667,1.423611111,2.388888889,0.633333333,15.46111111,0.083333333,55.24861111,19.34583333,2.801388889,9.7875,0,3.502777778,2.555555556,0.755555556,17.0375,94.29861111
0.391666667,1.020833333,0.961111111,12.09722222,10.21111111,2.290277778,0.093055556,13.95555556,0,2.355555556,2.318055556,5.530555556,0.0375,4.298611111,0.35,166.4055556,29.29861111,1.581944444,9.413888889,0,2.427777778,3.768055556,1.1,10.43333333,63.00694444
0.458333333,2.009722222,0.020833333,5.902777778,8.131944444,1.763888889,0.125,7.197222222,0,2.259722222,1.476388889,4.520833333,0.201388889,4.868055556,0.423611111,408.0069444,31.56944444,3.779166667,13.625,0,8.916666667,4.138888889,1.409722222,8.104166667,50.91666667
0.347222222,1.254166667,0.9375,1.431944444,5.408333333,0.277777778,0.301388889,12.35277778,0,1.005555556,2.930555556,2.872222222,0.166666667,14.5625,2.501388889,287.3,12.55833333,2.808333333,12.29305556,0.8125,2.451388889,1.747222222,0,14.22638889,64.50277778
0.734722222,0,0.083333333,1.770833333,69.95138889,0.1125,2.995833333,7.216666667,0,0.931944444,5.386111111,2.716666667,0.375,6,1.744444444,163.4875,0.165277778,1.856944444,6.477777778,0.975,1.466666667,1.0875,0.941666667,27.92222222,176.2111111
0.136363636,0.022727273,0.218181818,13.36818182,93.78636364,0.018181818,3.354545455,7.136363636,0,1.581818182,3.713636364,6.009090909,0.136363636,4.595454545,0.954545455,167.9727273,0.359090909,1.822727273,8.295454545,0.863636364,1.35,0.945454545,0.25,27.2,367.5090909
0.075,0.016666667,0.104166667,0.483333333,28.875,0.108333333,0.625,3.233333333,0,2.919444444,1.675,2.083333333,0.5125,1.904166667,0.998611111,80.52916667,0.404166667,0.415277778,7.352777778,0.204166667,0.966666667,0.3375,0.841666667,19.76805556,263.4875
0.138888889,1.35,0.216666667,1.975,45.19444444,0.279166667,1.468055556,5.475,0,2.052777778,4.106944444,6.720833333,0.444444444,4.120833333,0.125,116.3083333,0.570833333,0.222222222,5.309722222,0.433333333,5.158333333,0.804166667,0.141666667,13.64583333,189.1972222
0.270833333,2.034722222,0.479166667,10.99305556,57.23611111,0.208333333,0.326388889,4.541666667,0,3.458333333,6.756944444,18.47222222,0.493055556,6.270833333,0.840277778,58.27083333,0.736111111,6.0625,20.18055556,0.618055556,2.222222222,1.083333333,0.770833333,7.368055556,139.2291667
0.733333333,3.266666667,0.055555556,42.23194444,39.76666667,0.266666667,0.3,0.566666667,0,4.968055556,1.531944444,22.36527778,0.229166667,2.1875,0.161111111,189.2708333,0.016666667,4.995833333,6.220833333,0.868055556,1.975,1.086111111,0.819444444,10.77638889,317.3430556
0.263888889,4.856944444,0.183333333,21.46111111,11.1,0.088888889,0.283333333,0.947222222,0,2.9,1.666666667,47.08611111,0.208333333,0.669444444,0.752777778,170.8430556,0.020833333,3,3.116666667,0.229166667,0.763888889,2.545833333,0.016666667,4.0125,109.9236111
0.295833333,0.304166667,2.127777778,22.91805556,11.76666667,0.0375,0.286111111,0.816666667,0.0625,1.554166667,3.633333333,19.21944444,0.7,1.716666667,1.905555556,187.5819444,0.075,1.070833333,18.42777778,0.158333333,0.554166667,0.495833333,0.319444444,2.5,42.57222222
0.416666667,1.802777778,1.634722222,22.70555556,27.61111111,0.020833333,0.348611111,0.609722222,0.027777778,1.505555556,10.15972222,11.38888889,0.016666667,0.202777778,0.416666667,158.5625,0.065277778,2.959722222,14.3375,0.431944444,1.197222222,0.352777778,0.083333333,3.179166667,41.1
2.041666667,2.7,2.3625,72.67916667,55.51666667,0.0625,0.358333333,1.695833333,6.8,4.404166667,39.075,33.21666667,0.083333333,0.091666667,2.091666667,358.5208333,0.020833333,2.3625,12.14583333,0.225,0.666666667,0.433333333,0.479166667,2.345833333,47.40833333
9.3375,1.873611111,4.961111111,101.6472222,33.05833333,0.020833333,0.675,0.845833333,0.581944444,3.966666667,45.77777778,39.66111111,0,0.116666667,0.075,131.3291667,0.083333333,0.777777778,1.755555556,0.473611111,0.223611111,0.1375,6.030555556,1.154166667,28.76666667
2.594444444,74.13611111,6.975,42.84583333,39.57222222,0,0.345833333,0.6125,1.479166667,4.331944444,40.55416667,38.85833333,0,0.116666667,0.25,256.3583333,0.041666667,1.159722222,5.290277778,1.388888889,1.536111111,0.175,8.416666667,0.786111111,21.62916667
62.71666667,19.66527778,28.6375,222.2083333,63.44027778,0,0.6,0.129166667,5.229166667,1.6875,30.95,59.96666667,0.058333333,0.083333333,0.079166667,56.225,1.391666667,2.141666667,4.945833333,0.9125,0.3125,0.05,6.658333333,0.777777778,13.28333333
7.579166667,48.95833333,1.920833333,68.7125,532.4791667,0,1.245833333,1.941666667,11.89166667,7.604166667,26.1125,37.9,0.058333333,0.270833333,1.204166667,90.82916667,76.81666667,3.808333333,46.32916667,1.129166667,0.970833333,0.1,0.016666667,5.029166667,59.25416667
6.916666667,9.525,0.329166667,32.35,138.0916667,0,0.3375,0.458333333,44.62916667,2.141666667,41.98958333,18.15,0.129166667,0.195833333,1.0375,83.6625,4.891666667,0.433333333,10.20416667,0.3875,1.970833333,0.170833333,3.254166667,9.770833333,33.65416667
1.104166667,3.266666667,0.825,90.33333333,139.975,0.0375,1.5625,0.1875,1.3375,2.066666667,31.075,35.37083333,0.083333333,1.491666667,0.208333333,62.09583333,0.470833333,0.733333333,8.458333333,1.604166667,1.708333333,0.2,2.966666667,6.008333333,29.00833333
8.291666667,9.5875,1.175,25.77083333,93.7625,0,1.070833333,0.083333333,0.55,1.016666667,48.44583333,42.62083333,0.075,0.345833333,0.641666667,56.20833333,0.020833333,1.858333333,5.679166667,2.108333333,2.308333333,0.020833333,1.270833333,3.329166667,22.29166667
7.366666667,1.158333333,0.451388889,125.9944444,76.07361111,0.0375,0.225,0.129166667,0.1625,1.05,22.20277778,35.69166667,0.016666667,0.520833333,0.225,268.65,0.158333333,2.6875,5.054166667,1.152777778,4.536111111,0.290277778,0.215277778,0.766666667,9.7375
0.279166667,0.020833333,0.058333333,15.30833333,57.70138889,0,0.491666667,0.258333333,0.158333333,3.05,22.09027778,19.83333333,0,1.091666667,0.098611111,274.3458333,0,0.490277778,7.295833333,1.245833333,4.6,0.279166667,0.116666667,1.095833333,12.34583333
0.0625,0.341666667,0.358333333,14.47083333,30.99583333,0.020833333,0.520833333,0.058333333,0.158333333,3.1875,3.816666667,14.39166667,0,0.8125,0.054166667,108.7166667,0.020833333,0.358333333,7.558333333,2.391666667,4.445833333,0.2875,0.079166667,0.420833333,10.8625
0.041666667,0.041666667,0.270833333,13.46666667,27.34166667,0.020833333,0.145833333,0.120833333,0,5.075,5.133333333,13.04583333,0,0.445833333,0.016666667,109.125,0.125,0.529166667,12.12916667,1.766666667,6.841666667,0.345833333,0,0.304166667,8.475
6.8625,0.104166667,0.020833333,2.930555556,35.06527778,0.016666667,0.379166667,0.016666667,0,5.019444444,5.573611111,12.20833333,0.054166667,0.4125,0.191666667,51.95277778,0.086111111,4.361111111,13.73472222,1.445833333,5.751388889,0.3375,0.247222222,0.308333333,23.57361111
2.888888889,0.641666667,0.041666667,20.27916667,41.86388889,0,0.341666667,0.095833333,0.058333333,2.554166667,8.043055556,11.325,0.277777778,0.325,0.079166667,58.35833333,0.141666667,2.645833333,11.61388889,1.575,4.145833333,0.470833333,0.020833333,0.3625,30.79722222
1.916666667,2.354166667,0.445833333,29.15833333,30.3375,0,0.291666667,0.041666667,0.179166667,1.833333333,10.7875,8.7125,0.016666667,0.104166667,0.15,141.1625,0.2,0.854166667,9.891666667,0.741666667,2.775,0.179166667,0.458333333,0.395833333,32.64166667
1.509722222,1.793055556,0.058333333,171.5736111,30.25138889,0,0.411111111,0.016666667,0,2.843055556,21.90277778,16.42777778,0,0.183333333,0.065277778,187.9402778,0.184722222,3.330555556,9.745833333,0.436111111,2.018055556,0.226388889,0,0.511111111,9.0375
0.4875,17.99166667,0,3.513888889,22.90694444,0,0.941666667,0.048611111,0,3.713888889,13.66805556,18.27777778,0,0.408333333,0.079166667,257.3375,0.090277778,0.879166667,8.713888889,1.6,5.006944444,0.2375,0.470833333,1.834722222,11.62361111
1.023611111,0.527777778,0.4,13.34583333,9.927777778,0,0.9375,0.079166667,0.016666667,5.929166667,3.434722222,19.70833333,0,3.305555556,0,298.0972222,0.997222222,0.690277778,13.95555556,1.4,6.808333333,0.352777778,0.083333333,0.555555556,22.79027778
1.196969697,4.03030303,0.290909091,20.26818182,3.039393939,0,0.159090909,0.071212121,0,3.604545455,3.665151515,27.72878788,0.068181818,0.857575758,0.195454545,330.8363636,6.077272727,1.477272727,48.9,0.509090909,6.643939394,1.55,0.018181818,0.177272727,4.927272727
1.095833333,0.225,0.033333333,17.8375,3.058333333,0.020833333,0.116666667,0.079166667,0.016666667,5.341666667,1.85,14.87083333,0.020833333,0.5875,0.075,227.8541667,4.291666667,0.429166667,36.62083333,0.954166667,6.229166667,0.75,0.020833333,0.233333333,11.42083333
0.697222222,0.345833333,0.1375,22.35,1.994444444,0.05,0.0375,0.095833333,0,3.344444444,0.0625,18.58194444,0,0.354166667,0.041666667,182.2083333,6.879166667,1.970833333,15.38472222,1.983333333,8.211111111,0.644444444,0.048611111,0.175,3.001388889
0.970833333,0.041666667,0.054166667,3.158333333,1.558333333,0.195833333,0.166666667,0.116666667,0.020833333,2.258333333,0.041666667,13.66666667,0,2.5875,0,96.8625,0.079166667,0.020833333,10.39583333,1.233333333,3.15,0.683333333,0.3,0.145833333,1.704166667
0,1.029166667,0.104166667,18.08333333,1.356944444,0,0.0375,0.3375,0,1.829166667,0,15.32916667,0.016666667,1.5,0.125,339.0458333,0,0.375,16.99166667,1.466666667,3.070833333,0.929166667,0.6,0.020833333,1.608333333
4.979166667,0.5,0.125,24.64166667,0.808333333,0.083333333,0.020833333,0.466666667,0,1.104166667,0.020833333,31.2125,0,0.725,0.020833333,383.1833333,0,0.020833333,22.27083333,1.025,4.091666667,1.816666667,0.733333333,0.133333333,1.866666667
0.533333333,0.533333333,0,25.49583333,2.329166667,0.041666667,0.066666667,0.358333333,0.020833333,0.854166667,0.041666667,10.15,0,1.275,0.016666667,522.5666667,0,0.0625,15.82916667,1.558333333,2.8875,1.104166667,0.270833333,0.270833333,1.566666667
0.3125,0.354166667,0.016666667,5.295833333,3.2375,0,0.220833333,0.695833333,0.016666667,1.783333333,0.058333333,7.666666667,0,3.925,0.020833333,376.9583333,0,0.158333333,9.275,4.970833333,5.5375,0.433333333,0.141666667,0.35,1.083333333
0.104166667,0.0375,0.083333333,5.895833333,0.55,0,0.027777778,0.402777778,0,0.743055556,0,7.195833333,0,0.298611111,0,123.6555556,0,0.076388889,7.722222222,2.218055556,5.316666667,0.561111111,0.041666667,0.229166667,2.104166667
0.079166667,0.783333333,0.131944444,2.544444444,0.381944444,0,0,0.193055556,0.020833333,0.816666667,0,6.580555556,0,0.55,0,123.3236111,0,0.456944444,6.565277778,2.031944444,4.172222222,0.765277778,0.083333333,0.111111111,1.851388889
0.166666667,1.25,0.229166667,3.166666667,0.720833333,0,0.0625,0.416666667,0,1.325,0.016666667,6.179166667,0.020833333,0.275,0,100.6083333,0,0.104166667,3.5125,1.866666667,5.7375,0.316666667,0.55,0.116666667,0.616666667
